Kategori (SNA 2008);PDRB Kabupaten Mojokerto Atas Dasar Harga Berlaku Menurut Lapangan Usaha (Juta Rupiah);;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Pertanian, Kehutanan, dan Perikanan;3140818.09;3549020.68;4028695.15;4467951.52;4947284.44;5429556.66;5925564.68;6101986.93;6234214.66;6417782.09
Pertambangan dan Penggalian;379981.01;430241.58;459433.17;481927.17;548227.98;593571.91;636147.93;680601.05;741424.85;777514.55
Industri Pengolahan;18209046.48;20569307.46;22838763.66;24860898.74;27823078.06;31149113.85;34129479.39;37566587.72;41007107.19;44349866.05
Pengadaan Listrik dan Gas;24605.45;25817.44;26936.02;26423.36;29926.85;34316.86;37317.27;44799.54;49458.41;53307.39
Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;28124.95;29642.96;31349.55;33423.47;34882.99;37274.59;40284.26;43647.39;46660.23;48346.71
Konstruksi;2901775.02;3429689.41;4059101.88;4664500.53;5366535.85;5892495.92;6586757.54;7086578.49;7616566.07;7988986.36
"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";3761816.38;4242832.73;4656350.72;5059752.30;5408064.85;5982049.73;6693874.31;7244571.18;7980210.98;8666788.88
Transportasi dan Pergudangan;365211.40;404425.11;457392.89;537870.79;646799.25;725431.90;801198.42;892802.37;998211.11;1104028.51
Penyediaan Akomodasi dan Makan Minum;567002.23;655565.33;764590.46;888232.25;1071299.66;1224759.21;1386424.08;1532463.58;1684964.43;1836189.58
Informasi dan Komunikasi;1859367.32;2072891.40;2383736.73;2653104.03;2893411.47;3191286.50;3514737.88;3820109.04;4068264.55;4402853.52
Jasa Keuangan dan Asuransi;438331.59;509899.11;608284.07;718761.22;827174.96;936583.74;1049381.47;1127818.70;1208961.50;1276664.05
Real Estate;517360.19;597485.88;661987.73;745563.48;806971.32;920724.37;979474.23;1052767.69;1152213.38;1238276.16
Jasa Perusahaan;51183.57;58210.89;65396.16;75753.78;84274.04;93847.74;103009.82;111929.24;123635.82;135662.68
Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;975480.57;1080684.59;1210990.21;1270806.84;1282065.72;1397195.36;1538994.69;1638261.35;1810687.57;1997280.08
Jasa Pendidikan;449169.46;506225.65;578027.62;658088.73;746460.18;821266.87;883231.84;946091.76;1012231.31;1075740.27
Jasa Kesehatan dan Kegiatan Sosial;117293.54;135797.17;154464.08;179834.14;212500.09;227526.59;245485.82;268714.40;290367.50;322222.71
Jasa lainnya;360486.69;395067;411928.66;433425.46;474609.27;527933.15;564461.78;603440.02;657648.93;700323.87
PDRB;34147053.93;38692804.41;43397428.75;47756317.80;53203566.97;59184934.96;65115825.40;70763170.44;76682828.50;82391833.47
PDRB Tanpa Migas;34145873.96;38691533.82;43396092.83;47754809.02;53202017.66;59183332.44;65114184.23;70761499.12;76681097.62;82389965.05
